"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cct51",8.52514587263618e-64,0.967556231366667,0.927,0.36,1.43861836600735e-59,"Stem IR","Cct5"
"1810022K09Rik3",9.05465445810294e-64,0.674212366604734,0.789,0.195,1.52797293980487e-59,"Stem IR","1810022K09Rik"
"Eef1b23",9.77513898038379e-64,1.30395254634652,1,0.783,1.64955470293976e-59,"Stem IR","Eef1b2"
"Rpsa3",1.05988012787099e-63,1.39277435538214,1,0.972,1.78854771578229e-59,"Stem IR","Rpsa"
"Mrpl191",1.13233550475494e-63,0.42854535062794,0.56,0.088,1.91081616427396e-59,"Stem IR","Mrpl19"
"Pus11",1.16716930147298e-63,0.373596424671595,0.505,0.071,1.96959819623566e-59,"Stem IR","Pus1"
"Mpzl3",1.50492559506289e-63,0.339288721031476,0.45,0.057,2.53956194166862e-59,"Stem IR","Mpzl3"
"Emg12",1.60827297009557e-63,0.739524146799638,0.789,0.193,2.71396063703627e-59,"Stem IR","Emg1"
"Eif3h3",1.89060398225763e-63,0.967579856111226,0.945,0.375,3.19039422005975e-59,"Stem IR","Eif3h"
"Rpl7a3",1.89779285251943e-63,1.287491525963,0.991,0.852,3.20252543862654e-59,"Stem IR","Rpl7a"
"Rpl283",2.60537782885635e-63,1.16241316846278,1,0.947,4.39657508619509e-59,"Stem IR","Rpl28"
