"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Chp2",5.31907705427224e-288,1.41378943010263,0.656,0.022,8.24988851117625e-284,"Ent","Chp2"
"H2-T3",2.10694507609644e-287,0.951934807169102,0.656,0.021,3.26787181302558e-283,"Ent","H2-T3"
"Ugt2a3",1.22685150050477e-285,0.604407288733703,0.438,0.005,1.9028466772829e-281,"Ent","Ugt2a3"
"Slc26a3",1.0517159888749e-279,0.883736530244121,0.5,0.01,1.63121149874497e-275,"Ent","Slc26a3"
"Apol10a",2.74804272119573e-271,1.23841366226904,0.586,0.017,4.26221426057457e-267,"Ent","Apol10a"
"Aoc1",3.60728978064273e-269,1.17421335449985,0.656,0.024,5.59490644977687e-265,"Ent","Aoc1"
"Slc25a45",4.57105356739154e-262,0.774865036288687,0.43,0.006,7.08970408302427e-258,"Ent","Slc25a45"
"Fcgrt",5.49315539489814e-260,0.711122799908222,0.523,0.013,8.51988401748702e-256,"Ent","Fcgrt"
"Slc26a6",6.75534689975792e-258,1.32754766817398,0.586,0.019,1.04775430415245e-253,"Ent","Slc26a6"
"Alpi",6.24017441039072e-256,1.38377119621519,0.492,0.011,9.67851051051601e-252,"Ent","Alpi"
"Mall",8.75646816985865e-256,0.567810825474152,0.406,0.005,1.35812821314508e-251,"Ent","Mall"
"Enpep",1.68822472558985e-246,1.20326756835479,0.547,0.017,2.61843654938986e-242,"Ent","Enpep"
"Car4",1.18894272446911e-240,1.86664341367955,0.734,0.041,1.84405016565159e-236,"Ent","Car4"
"Tgfbi",3.34864369802421e-236,0.633553634393219,0.391,0.006,5.19374637563556e-232,"Ent","Tgfbi"
"Gsta4",5.6093657438891e-236,1.33498271934269,0.469,0.011,8.70012626877199e-232,"Ent","Gsta4"
"Aadac",4.53494676139508e-234,1.52203914887745,0.688,0.035,7.03370242692377e-230,"Ent","Aadac"
"Mogat2",3.65821460030976e-226,1.59378441158215,0.609,0.027,5.67389084508043e-222,"Ent","Mogat2"
"Ms4a18",3.8605368044951e-223,0.525191102809843,0.336,0.004,5.9876925837719e-219,"Ent","Ms4a18"
"Ugt2b5",1.30854676703367e-221,0.470916414668622,0.305,0.002,2.02955603566922e-217,"Ent","Ugt2b5"
"Hsd17b6",1.51368359808996e-212,0.487036080031899,0.289,0.002,2.34772326063753e-208,"Ent","Hsd17b6"
"Ces2e",7.01507820499187e-212,2.11763550747792,0.68,0.041,1.08803862959424e-207,"Ent","Ces2e"
"Clec2h",2.95964015723354e-209,1.78408950628023,0.625,0.032,4.59040188386922e-205,"Ent","Clec2h"
"BC030870",1.50507800884924e-207,0.690747080302272,0.508,0.018,2.33437599172518e-203,"Ent","BC030870"
"Arg2",3.17008577514136e-206,2.6418396176579,0.844,0.075,4.91680303724424e-202,"Ent","Arg2"
"2010106E10Rik",6.10634602200546e-202,0.909525883014442,0.406,0.01,9.47094268013047e-198,"Ent","2010106E10Rik"
"Gstm3",5.40070924772238e-200,1.45906987917168,0.539,0.023,8.37650004321741e-196,"Ent","Gstm3"
"Dmbt1",9.10275428003454e-200,2.84507325997495,0.797,0.065,1.41183718883336e-195,"Ent","Dmbt1"
"Cldn15",4.63748645537962e-198,1.73529364558787,0.852,0.077,7.19274149229379e-194,"Ent","Cldn15"
"Hdhd3",1.0590588770152e-191,0.80103326973863,0.562,0.027,1.64260031825057e-187,"Ent","Hdhd3"
"Mme",1.29262905063437e-190,1.07342844476394,0.422,0.013,2.0048676575339e-186,"Ent","Mme"
"Ace2",2.80536869176481e-190,1.12412618318221,0.398,0.011,4.35112684092722e-186,"Ent","Ace2"
"Gm3336",1.01853887076166e-189,0.690409647242404,0.484,0.019,1.57975378855134e-185,"Ent","Gm3336"
"Ces2g",1.51478810571045e-188,0.46680030619639,0.328,0.006,2.3494363519569e-184,"Ent","Ces2g"
"BC025446",1.13248998333459e-180,0.309440588962797,0.242,0.002,1.75649196415194e-176,"Ent","BC025446"
"Tmem37",1.8046104611075e-180,0.811186783648631,0.547,0.028,2.79895082517774e-176,"Ent","Tmem37"
"Dpep1",1.67608677547374e-178,0.997086694170963,0.414,0.014,2.59961058875977e-174,"Ent","Dpep1"
"Reg3a",2.87983365726536e-177,1.2922308530767,0.359,0.009,4.46662200241857e-173,"Ent","Reg3a"
"Tm6sf2",3.96348141013338e-177,1.21039280837983,0.609,0.039,6.14735966711687e-173,"Ent","Tm6sf2"
"Gsta1",5.57619733801894e-174,1.17252690703878,0.383,0.011,8.64868207126738e-170,"Ent","Gsta1"
"Tmem120a",1.34250943407802e-173,1.11716288084122,0.586,0.036,2.082232132255e-169,"Ent","Tmem120a"
"Mgst1",4.96805749778952e-172,1.77595813682955,0.875,0.097,7.70545717907155e-168,"Ent","Mgst1"
"Smlr1",4.84320756091243e-166,0.620362149714147,0.445,0.018,7.51181492697518e-162,"Ent","Smlr1"
"Ctss",1.88699427823836e-165,0.547751822610346,0.445,0.018,2.9267281255477e-161,"Ent","Ctss"
"Rragd",1.9167098399362e-164,0.645724519271694,0.5,0.025,2.97281696174104e-160,"Ent","Rragd"
"Aqp11",5.40107375655533e-164,0.75323905913203,0.562,0.034,8.37706539641732e-160,"Ent","Aqp11"
"Maf",4.11545420082273e-163,0.94389375500537,0.539,0.031,6.38306946547606e-159,"Ent","Maf"
"Acy1",1.92840652551502e-161,0.681533033536322,0.453,0.02,2.9909585210738e-157,"Ent","Acy1"
"Bche",1.50766624085173e-160,0.517268281451314,0.383,0.013,2.33839033956103e-156,"Ent","Bche"
"Otc",2.22639221700996e-160,1.34254910993124,0.766,0.075,3.45313432858245e-156,"Ent","Otc"
