,names,scores,logfoldchanges,pvals,pvals_adj
337,Cct4,26.022026,1.0346127,1.4046339528738765e-125,5.00011052890408e-124
338,Npm3,26.021502,1.477715,3.2577833135923264e-119,1.0732322883450794e-117
339,Uchl3,25.987864,1.2425201,8.486312838876404e-124,2.9626879061194906e-122
340,Atad3a,25.976274,1.5140771,9.624377936690397e-119,3.1534195991843276e-117
341,Ndufs7,25.952126,0.8836996,5.555251187332103e-131,2.1235357861449444e-129
342,Smc1a,25.894287,1.3267298,4.9007078045476454e-120,1.6383011939224867e-118
343,Kif15,25.888702,2.4654539,1.5966626900320243e-110,4.628789004910439e-109
344,Atp5f1,25.865206,0.81172794,1.9560250105714033e-128,7.193339963419919e-127
345,Ehf,25.846249,2.077634,3.087897239013946e-114,9.43501013047111e-113
346,Timm10,25.841528,1.3715006,2.636740847802317e-119,8.718085295863173e-118
347,mt-Nd2,25.828173,0.8709012,1.2813282568305667e-127,4.6713051681112754e-126
348,Taldo1,25.821863,0.79921085,1.534183775474489e-125,5.450563887808287e-124
