,names,scores,logfoldchanges,pvals,pvals_adj
8812,Nkx1-2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8813,Cxcl2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8814,Cxcl1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8815,Cxcl5,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8816,Gm4675,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8817,Fam212b,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8818,Mrpl53,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8819,Gm45441,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8820,Gm8281,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8821,Zcchc24,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8822,Anxa1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8823,Gm10406,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8824,Sv2b,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8825,Mustn1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8826,Cbln2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8827,Nkx2-2os,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8828,Itih1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8829,H2al1m,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8830,2610016A17Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8831,Rtkn2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8832,Zbtb46,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8833,Gm40770,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8834,Gm20449,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8835,Sulf1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8836,Srms,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8837,Sult5a1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8838,Sprr2a1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8839,Gm15396,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8840,Gm32872,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8841,Synpo2l,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8842,Gm26869,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8843,Gm26538,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8844,Gm14322,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8845,Myoz1,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8846,Tesmin,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8847,4921516A02Rik,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8848,Ptprb,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8849,A4gnt,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8850,Trex2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8851,Cdh2,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8852,Syngr4,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
8853,Grin3b,-1.0,-17.350515,0.3173688527234977,0.3852672030579831
